,,3,6d_O,Marked bees of known chronological age (6 days) were collected in May 2024 (on different dates),
,,4,8d_O,Marked bees of known chronological age (8 days) were collected in May 2024 (on different dates),
,,5,10d_O,Marked bees of known chronological age (10 days) were collected in May 2024 (on different dates),
,,6,12d_O,Marked bees of known chronological age (12 days) were collected in May 2024 (on different dates),
,,7,16d_O,Marked bees of known chronological age (16 days) were collected in May 2024 (on different dates),
,,8,18d_O,Marked bees of known chronological age (18 days) were collected in May 2024 (on different dates),
,,9,21d_O,Marked bees of known chronological age (21 days) were collected in May 2024 (on different dates),
,,10,25d_O,Marked bees of known chronological age (25 days) were collected in May 2024 (on different dates),
,,11,_O,RNA extraction and analysis were done in October (O),
,,,,,
5,ct_values_raw_D.txt,,"Raw, sample name",Meaning,
,,1,0d,Newly emerged bees (< 20 h old) collected in August 2024 (different dates).,
,,2,3d_Aug,Marked bees of known chronological age (3 days) were collected in August 2024.,
,,3,6d_Aug,Marked bees of known chronological age (6 days) were collected in August 2024.,
,,4,14d_Aug,Marked bees of known chronological age (14 days) were collected in August 2024.,
,,5,21d_Aug,Marked bees of known chronological age (21 days) were collected in August 2024.,
,,,,,
6,ct_values_raw_E.txt,,"Raw, sample name",Meaning,
,,1,0d_1,"Newly emerged bees (< 20 h old) collected in May 2025, from Colony 1.",
,,2,0d_2,"Newly emerged bees (< 20 h old) collected in May 2025, from Colony 2.",
,,3,0d_3,"Newly emerged bees (< 20 h old) collected in May 2025, from Colony 3.",
,,4,0d_4,"Newly emerged bees (< 20 h old) collected in May 2025, from Colony 4.",
,,5,Nurses1,Nurse bees (collected from brood frames containing larvae) were collected in May 2025 from Colony 1.,
,,6,Nurses2,"Nurse bees, collected in May 2025, from Colony 2.",
,,7,Nurses3,"Nurse bees, collected in May 2025, from Colony 3.",
,,8,Foragers1,Forager bees (returning to the colony with attached pollen) were collected in May 2025 from Colony 1.,
,,9,Foragers2,"Forager bees, collected in May 2025, from Colony 2.",
,,10,Foragers3,"Forager bees, collected in May 2025, from Colony 3.",
,,,,,
5,"Predicted_Age_ResultsX.xlsx (X=A, B, C, D, E)",,Column,Meaning,
,,1,Ct_Actin_SOD1,Ct value of the reference gene Actin used for normalization of SOD1 expression.,
,,2,Ct_SOD1,Ct value of the target gene SOD1.,
,,3,Ct_Actin_Dome_Apid1,Ct value of the reference gene Actin used for normalization of Dome and Apid1 expression.,
,,4,Ct_Dome,Ct value of the target gene Dome.,
,,5,Ct_Apid1,Ct value of the target gene Apid1.,
,,6,Ct_Actin_Relish,Ct value of the reference gene Actin used for normalization of Relish expression.,
,,7,Ct_Relish,Ct value of the target gene Relish.,
,,8,deltaCt_SOD1,¥ÄCt (Normalized Expression; ¥ÄCt=Cttarget??Ctreference Actin?) for SOD1.,
,,9,deltaCt_Dome,¥ÄCt for Dome.,
,,10,deltaCt_Apid1,¥ÄCt for Apid1.,
,,11,deltaCt_Relish,¥ÄCt for Relish.,
,,12,ddCt_SOD1,¥Ä¥ÄCt (Calibrated Expression; ¥Ä¥ÄCt=¥ÄCtsample??¥ÄCtcalibrator age 0 day)? for SOD1.,
,,13,ddCt_Dome,¥Ä¥ÄCt for Dome.,
,,14,ddCt_Apid1,¥Ä¥ÄCt for Apid1.,
,,15,ddCt_Relish,¥Ä¥ÄCt for Relish.,
,,16,relExp_Dome,Relative expression (Fold Change; Relative Expression=2?¥Ä¥ÄCt) of Dome.,
,,17,relExp_SOD1,Relative expression of SOD1.,
,,18,relExp_Relish,Relative expression of Relish.,
,,19,relExp_Apid1,Relative expression of Apid1.,
,,20,Predicted_Age_Days,Biological age (day-equivalent units) predicted by the Elastic Net Regression model based on normalized gene expression values.,


